url,condition,car,price
www.cars.com/vehicledetail/b8d1cde9-5512-44ce-a177-7c0ef0f59ea0/,Used,2020 Ferrari F8 Tributo Base,$529990
www.cars.com/vehicledetail/cd2d9055-494b-4d6d-8d66-6896751d6d57/,Used,1989 Ferrari Testarossa,$159900
www.cars.com/vehicledetail/66e1e4c3-5dc2-4a12-8945-6cbfc5638b46/,Used,2017 Ferrari 488 Spider Base,$339990
www.cars.com/vehicledetail/1b31bbe5-c15f-400f-bb5f-985a972b1fe1/,Used,2008 Ferrari F430 2dr Cpe,$144995
www.cars.com/vehicledetail/63d9cfb2-b2ff-4d03-9a2e-7b25abeb7044/,Used,2012 Ferrari California,$118900
www.cars.com/vehicledetail/e868b0a0-fc47-4f47-8d71-69e8c9cb0d56/,Ferrari Certified,2021 Ferrari Roma Base,$314990
www.cars.com/vehicledetail/253c373f-36d7-4d35-b56d-2ad3f68030df/,Ferrari Certified,2017 Ferrari 488 Spider Base,$359900
www.cars.com/vehicledetail/667e5b0d-f1b6-4949-af7d-848f5d7850e2/,Used,2011 Ferrari 458 Italia Base,$199000
www.cars.com/vehicledetail/c6bcb145-4a10-4ce5-a897-1e98cfc60c69/,Ferrari Certified,2019 Ferrari Portofino Base,$279900
www.cars.com/vehicledetail/c52d11b6-3fdd-4440-98c5-a99ee924e376/,Ferrari Certified,2019 Ferrari Portofino Base,$279900
www.cars.com/vehicledetail/1982fa4b-eaac-42ac-8ebe-a8dad8921010/,Used,2019 Ferrari 812 Superfast Base,$429990
www.cars.com/vehicledetail/d89a40f7-9393-4256-bc0b-c2630fca87c8/,Used,2019 Ferrari 488 GTB Base,$319900
www.cars.com/vehicledetail/54564bb1-87f7-41a2-aff8-d8a7d4e343e0/,Used,2018 Ferrari GTC4Lusso T,$229900
www.cars.com/vehicledetail/5bbfcaae-e57e-4a20-9fd9-e1a7c4d7cdc8/,Used,2008 Ferrari 599 GTB Fiorano,$139995
www.cars.com/vehicledetail/9a77ee5f-f498-4d0f-a105-ced9d4ef908b/,Used,2011 Ferrari California Base,$109950
www.cars.com/vehicledetail/6600be49-6b71-485c-9e4d-1bc64c795770/,Used,2017 Ferrari 488 GTB Base,$309900
www.cars.com/vehicledetail/55efb3ac-a0d8-4157-b130-f1e7eb695d49/,Used,2011 Ferrari California Base,$115000
www.cars.com/vehicledetail/3d7749cb-ed85-4576-a3d1-41fb15b60638/,Used,2020 Ferrari Portofino Base,$274900
www.cars.com/vehicledetail/f943dfe7-7281-42cd-9ab6-e52080f0397d/,Used,2018 Ferrari 488 Spider Base,$339895
www.cars.com/vehicledetail/94e1c7b0-34c6-47c2-a8fe-6ff722475dfb/,Ferrari Certified,2020 Ferrari 812 Superfast Base,$432614
www.cars.com/vehicledetail/a3df9da2-72d7-45f3-94da-97a924e5535f/,Ferrari Certified,2020 Ferrari 812 Superfast Base,$432495
www.cars.com/vehicledetail/3565d663-4286-4a42-bd2e-6e49c9cf4171/,Used,2020 Ferrari 812 Superfast Base,$529900
www.cars.com/vehicledetail/27c6e3bc-4130-44a1-b0a5-18598695cd09/,Used,2015 Ferrari F12berlinetta Base,$284990
www.cars.com/vehicledetail/484170cd-8020-4ad0-ac01-5835c06b98a9/,Ferrari Certified,2020 Ferrari 812 Superfast Base,$499000
www.cars.com/vehicledetail/dab67060-516c-49f5-8839-60990a0021ac/,Ferrari Certified,2012 Ferrari California Base,$137900
www.cars.com/vehicledetail/b2464ea4-c540-4090-8b6f-59a560036240/,Used,2019 Ferrari GTC4Lusso T,$249900
www.cars.com/vehicledetail/e7db042a-0c50-43e0-882e-26d21edfc4a3/,Used,2014 Ferrari F12berlinetta Base,$269998
